,Team,Name,Age,Position,Nation,Market Value,Left / Joined Club,Left / Joined Country,Transfer Fee,In or Out,season
188,Atvidabergs FF,Pontus Hydén,27,Left Midfield,Sweden,0,BK Kenty,Sweden,loan transfer,out,2011
189,Atvidabergs FF,Thomas Olsson,35,Central Midfield,Sweden,0,IFK Göteborg,Sweden,"End of loanOct 1, 2011",out,2011
190,GAIS Göteborg,Wanderson,25,Centre-Forward,Brazil,0,Ahli,Saudi Arabia,800000,in,2011
191,GAIS Göteborg,Erik Berg,22,Centre-Back,Sweden,0,Falkenberg,Sweden,0,in,2011
192,GAIS Göteborg,Malkolm Moenza,18,Left-Back,Sweden,200000,GAIS U19,Sweden,0,in,2011
193,GAIS Göteborg,Johan Martensson,22,Defensive Midfield,Sweden,300000,FC Utrecht,Netherlands,1100000,out,2011
194,GAIS Göteborg,Razak Omotoyossi,25,Centre-Forward,Benin,0,Syrianska FC,Sweden,free transfer,out,2011
195,GAIS Göteborg,Johan Rundqvist,20,Centre-Back,Sweden,50000,Qviding,Sweden,loan transfer,out,2011
196,GAIS Göteborg,Hallgrímur Jónasson,25,Centre-Back,Iceland,50000,SönderjyskE,Denmark,loan transfer,out,2011
197,GAIS Göteborg,Álvaro Santos,31,Centre-Forward,Brazil,0,Örgryte,Sweden,"End of loanJun 30, 2011",out,2011
198,GAIS Göteborg,Amadaiya Rennie,21,Right Winger,Liberia,100000,Elfsborg,Sweden,"End of loanJun 30, 2011",out,2011
199,GAIS Göteborg,Wanderson,25,Centre-Forward,Brazil,0,Ahli,Saudi Arabia,"End of loanJun 30, 2011",out,2011
200,Syrianska FC,Mamadou Fofana,23,Central Midfield,France,50000,La Vitréenne FC,France,free transfer,in,2011
201,Syrianska FC,Razak Omotoyossi,25,Centre-Forward,Benin,0,GAIS,Sweden,free transfer,in,2011
202,Syrianska FC,Mohamed Kabia,20,Centre-Forward,Sierra Leone,100000,Motala AIF,Sweden,0,in,2011
203,Syrianska FC,Alusine Kamara,21,Attacking Midfield,Sierra Leone,40000,Motala AIF,Sweden,0,in,2011
204,Syrianska FC,Raby George,19,Central Midfield,Sweden,50000,Syrians. FC U17,Sweden,0,in,2011
205,Syrianska FC,Vuk Martinovic,21,Left-Back,Montenegro,100000,FK Lovcen,Montenegro,loan transfer,in,2011
206,Syrianska FC,Razak Omotoyossi,25,Centre-Forward,Benin,0,Zamalek,Egypt,0,out,2011
207,Syrianska FC,Semir Mete,23,Attacking Midfield,Sweden,50000,Syrianska IF,Sweden,loan transfer,out,2011
208,Syrianska FC,Obie Etie Ikechukwu,24,Centre-Forward,Nigeria,0,Östers IF,Sweden,loan transfer,out,2011
209,AIK,Daniel Majstorović,35,Centre-Back,Sweden,0,Celtic,Scotland,free transfer,in,2012
210,AIK,Henok Goitom,27,Centre-Forward,Eritrea,300000,UD Almería,Spain,free transfer,in,2012
211,AIK,Ibrahim Moro,18,Central Midfield,Ghana,150000,New Edubiase,Ghana,0,in,2012
