,Team,Name,Age,Position,Nation,Market Value,Left / Joined Club,Left / Joined Country,Transfer Fee,In or Out,season
110,Lillestrøm SK,Anthony Ujah,20,Centre-Forward,Nigeria,800000,1.FSV Mainz 05,Germany,2300000,out,2011
111,Lillestrøm SK,Nosa Igiebor,20,Central Midfield,Nigeria,400000,Hapoel Tel Aviv,Israel,850000,out,2011
112,Lillestrøm SK,Espen Sögard,31,Defensive Midfield,Norway,0,IK Start,Norway,0,out,2011
113,Lillestrøm SK,Alexander Nadj,25,Goalkeeper,Sweden,50000,No club,No country,0,out,2011
114,Lillestrøm SK,Youssef Sekour,23,Defensive Midfield,Morocco,325000,No club,No country,0,out,2011
115,Hönefoss BK,Remond Mendy,25,Centre-Forward,Senegal,0,Nybergsund,Norway,0,in,2011
116,Hönefoss BK,Stian Sortevik,23,Attacking Midfield,Norway,150000,KFUM Oslo,Norway,0,in,2011
117,Hönefoss BK,Kevin Beugre,18,Centre-Forward,Cote d'Ivoire,50000,Ivoire Academie,Cote d'Ivoire,0,in,2011
118,Hönefoss BK,Arnór Sveinn Adalsteinsson,25,Centre-Back,Iceland,125000,Breidablik,Iceland,loan transfer,in,2011
119,Hönefoss BK,Vamouti Diomande,20,Left Winger,Cote d'Ivoire,100000,ES Bingerville,Cote d'Ivoire,loan transfer,in,2011
120,Hönefoss BK,Erik Hagen,36,Centre-Back,Norway,0,Jevnaker IF,Norway,free transfer,out,2011
121,Hönefoss BK,Lars Lafton,31,Centre-Forward,Norway,0,Jevnaker IF,Norway,0,out,2011
122,Hönefoss BK,Paul Obiefule,25,Central Midfield,Nigeria,0,Lillestrøm SK,Norway,loan transfer,out,2011
123,Hönefoss BK,Kevin Beugre,18,Centre-Forward,Cote d'Ivoire,50000,Ivoire Academie,Cote d'Ivoire,"End of loanJun 30, 2011",out,2011
124,Molde FK,Jo Inge Berget,20,Right Winger,Norway,900000,Udinese U19,Italy,0,in,2011
125,Molde FK,Vini Dantas,21,Centre-Forward,Brazil,100000,Tranmere Rovers,England,0,in,2011
126,Molde FK,Zlatko Tripic,18,Left Winger,Norway,800000,Egersund,Norway,0,in,2011
127,Molde FK,Abdou Karim Camara,18,Central Midfield,Senegal,50000,Diambars FC,Senegal,0,in,2011
128,Molde FK,Knut Olav Rindaröy,25,Left-Back,Norway,0,Dep. La Coruña,Spain,"End of loanJun 30, 2011",in,2011
129,Molde FK,Pape Paté Diouf,25,Second Striker,Senegal,100000,FC Copenhagen,Denmark,2400000,out,2011
130,Molde FK,Emil Johansson,24,Left-Back,Sweden,0,FC Groningen,Netherlands,500000,out,2011
131,Molde FK,Thomas Holm,30,Central Midfield,Norway,0,Tromsø IL,Norway,loan transfer,out,2011
132,Odd Grenland,George Agwuocha,18,Left Winger,Nigeria,25000,Kwara United,Nigeria,90000,in,2011
133,Odd Grenland,Herolind Shala,19,Attacking Midfield,Kosovo,400000,Notodden,Norway,free transfer,in,2011
134,Odd Grenland,Sören Jensen,27,Centre-Back,Denmark,0,Randers FC,Denmark,"End of loanJun 30, 2011",in,2011
135,Odd Grenland,Sören Jensen,27,Centre-Back,Denmark,0,AC Horsens,Denmark,free transfer,out,2011
136,Odd Grenland,Erik Midtgarden,23,Left Winger,Norway,100000,FC Flora,Estonia,loan transfer,out,2011
137,Odd Grenland,Torjus Hansén,37,Right-Back,Norway,0,No club,No country,0,out,2011
138,SK Brann,Tadas Labukas,27,Centre-Forward,Lithuania,25000,Arka Gdynia,Poland,free transfer,in,2011
139,SK Brann,Maximiliano Bajter,25,Defensive Midfield,Uruguay,50000,CA Fénix,Uruguay,loan transfer,in,2011
140,SK Brann,Öystein Övretveit,17,Goalkeeper,Norway,200000,Brann Bergen Yo,Norway,0,in,2011
141,SK Brann,Jonas Grönner,18,Centre-Back,Norway,200000,Brann Bergen Yo,Norway,0,in,2011
142,SK Brann,Nicolás Mezquida,19,Attacking Midfield,Uruguay,500000,Peñarol,Uruguay,"End of loanJun 30, 2011",out,2011
143,SK Brann,Jacinto,19,Centre-Forward,Brazil,125000,Desp. Brasil,Brazil,"End of loanJun 30, 2011",out,2011
144,SK Brann,Hannes Thór Halldórsson,28,Goalkeeper,Iceland,150000,KR Reykjavík,Iceland,"End of loanMay 5, 2012",out,2011
145,Stabæk Fotball,Fredrik Brustad,22,Right Winger,Norway,200000,Orlando C. U23,United States,0,in,2011
146,Stabæk Fotball,Marcus Bergholtz,21,Defensive Midfield,Sweden,150000,Helsingborg,Sweden,loan transfer,in,2011
147,Stabæk Fotball,Herman Stengel,15,Central Midfield,Norway,300000,Stabaek IF U19,Norway,0,in,2011
148,Stabæk Fotball,Henning Hauger,25,Defensive Midfield,Norway,0,Hannover 96,Germany,450000,out,2011
149,Stabæk Fotball,Veigar Páll Gunnarsson,31,Second Striker,Iceland,0,Vålerenga,Norway,130000,out,2011
150,Stabæk Fotball,Jörgen Skjelvik,20,Left-Back,Norway,400000,Helsingborg,Sweden,loan transfer,out,2011
151,Tromsø IL,Yaya Sané,22,Centre-Back,Senegal,200000,Diambars FC,Senegal,loan transfer,in,2011
152,Tromsø IL,El Hadj Sega Ngom,21,Attacking Midfield,Norway,0,Alta IF,Norway,loan transfer,in,2011
153,Tromsø IL,Thomas Holm,30,Central Midfield,Norway,0,Molde,Norway,loan transfer,in,2011
154,Tromsø IL,William Frantzen,18,Right-Back,Norway,0,Tromsø IL Youth,Norway,0,in,2011
155,Tromsø IL,Dominique Taboga,28,Centre-Back,Austria,0,SV Kapfenberg,Austria,"End of loanJun 30, 2011",in,2011
